"season","game_id","team","player_id","period","shifts","first","last","position","datetime"
2016,20014,"nsh",8475714,2,"1189-1200;546-582;196-234;640-678;1062-1105;910-960","Calle","Jarnkrok","c","2016-10-15 00:00:00+00"
2016,20014,"nsh",8475714,1,"527-547;849-879;128-159;754-793;334-378;993-1049","Calle","Jarnkrok","c","2016-10-15 00:00:00+00"
2016,20014,"nsh",8475793,3,"1006-1048;701-756;817-888;191-265;447-522","Ryan","Johansen","c","2016-10-15 00:00:00+00"
2016,20014,"nsh",8475793,2,"1172-1200;960-996;1020-1062;42-91;582-640;821-881;234-297;364-463","Ryan","Johansen","c","2016-10-15 00:00:00+00"
2016,20014,"nsh",8475793,1,"565-591;493-527;1109-1149;253-299;41-90;936-993;701-759;378-466","Ryan","Johansen","c","2016-10-15 00:00:00+00"
2016,20014,"nsh",8476447,3,"636-642;683-701;1114-1163;51-112;961-1039;374-466","Miikka","Salomaki","r","2016-10-15 00:00:00+00"
2016,20014,"nsh",8476447,2,"881-916;196-234;640-695;1062-1149","Miikka","Salomaki","r","2016-10-15 00:00:00+00"
2016,20014,"nsh",8476447,1,"527-547;135-159;754-793;808-849;334-378;993-1049","Miikka","Salomaki","r","2016-10-15 00:00:00+00"
2016,20014,"nsh",8476887,3,"1039-1068;466-505;112-161;701-756;200-265;817-888","Filip","Forsberg","l","2016-10-15 00:00:00+00"
2016,20014,"nsh",8476887,2,"1172-1200;960-996;1020-1062;596-640;723-773;36-95;234-294;817-881;364-463","Filip","Forsberg","l","2016-10-15 00:00:00+00"
2016,20014,"nsh",8476887,1,"565-591;849-879;493-527;945-993;41-90;701-754;1109-1162;226-299;378-466","Filip","Forsberg","l","2016-10-15 00:00:00+00"
2016,20014,"nsh",8476925,3,"636-642;683-701;1094-1114;1163-1200;1006-1048;51-112;374-447","Colton","Sissons","c","2016-10-15 00:00:00+00"
2016,20014,"nsh",8476925,2,"881-916;196-234;640-689;1062-1149","Colton","Sissons","c","2016-10-15 00:00:00+00"
2016,20014,"nsh",8476925,1,"151-159;527-547;759-793;808-849;334-378;993-1049","Colton","Sissons","c","2016-10-15 00:00:00+00"
2016,20014,"nsh",8477942,3,"200-257;447-522","Kevin","Fiala","l","2016-10-15 00:00:00+00"
2016,20014,"nsh",8477942,2,"1172-1189;1020-1062;546-596;42-95;234-297;821-910","Kevin","Fiala","l","2016-10-15 00:00:00+00"
2016,20014,"nsh",8477942,1,"565-591;879-906;493-527;253-299;41-90;701-754","Kevin","Fiala","l","2016-10-15 00:00:00+00"
2016,20014,"nsh",8478042,3,"841-847;36-51;924-942;161-200;961-1006;590-636;321-374","Viktor","Arvidsson","l","2016-10-15 00:00:00+00"
2016,20014,"nsh",8478042,2,"996-1020;695-723;773-817;151-196;546-596","Viktor","Arvidsson","l","2016-10-15 00:00:00+00"
2016,20014,"nsh",8478042,1,"466-493;879-906;299-334;90-135;1049-1109;634-701","Viktor","Arvidsson","l","2016-10-15 00:00:00+00"
2016,20026,"nsh",8467370,3,"1178-1200;251-281;19-54;536-588;296-350;849-912;656-721;1054-1164","Mike","Fisher","c","2016-10-16 00:30:00+00"
2016,20026,"nsh",8467370,2,"686-704;929-961;48-89;254-306;797-850;458-516;1124-1189","Mike","Fisher","c","2016-10-16 00:30:00+00"
2016,20026,"nsh",8467370,1,"17-54;669-709;1061-1111;396-453;759-819;247-309;523-598","Mike","Fisher","c","2016-10-16 00:30:00+00"
2016,20026,"nsh",8467371,3,"588-606;350-372;752-788;423-467;912-963;54-115","Mike","Ribeiro","c","2016-10-16 00:30:00+00"
2016,20026,"nsh",8467371,2,"1118-1124;1006-1046;850-898;306-356;516-585;89-179","Mike","Ribeiro","c","2016-10-16 00:30:00+00"
2016,20026,"nsh",8467371,1,"489-493;819-832;378-396;54-93;1161-1200;619-669;865-917;960-1024;176-247","Mike","Ribeiro","c","2016-10-16 00:30:00+00"
2016,20026,"nsh",8471707,3,"160-177;1178-1200;788-817;19-54;296-350;893-951;662-721;461-536;1028-1164","James","Neal","r","2016-10-16 00:30:00+00"
2016,20026,"nsh",8471707,2,"1115-1118;585-604;929-968;1046-1093;252-306;736-791;1124-1189;452-518;48-122","James","Neal","r","2016-10-16 00:30:00+00"
2016,20026,"nsh",8471707,1,"711-721;17-54;1072-1111;917-960;396-453;759-819;226-301;523-604","James","Neal","r","2016-10-16 00:30:00+00"
2016,20026,"chi",8473604,3,"0-19;954-992;54-103;606-662;406-465;1107-1178;167-247;788-868","Jonathan","Toews","c","2016-10-16 00:30:00+00"
2016,20026,"chi",8473604,2,"207-250;412-459;0-48;1139-1190;787-843;960-1020;604-687","Jonathan","Toews","c","2016-10-16 00:30:00+00"
2016,20026,"chi",8473604,1,"609-619;0-17;917-954;335-381;94-141;451-499;1054-1111;739-812","Jonathan","Toews","c","2016-10-16 00:30:00+00"
2016,20026,"nsh",8474569,3,"1043-1054;1164-1178;19-54;536-588;296-350;849-905;662-721","Colin","Wilson","l","2016-10-16 00:30:00+00"
