"season","game_id","team","player_id","period","shifts","first","last","position","datetime"
2016,20017,"bos",8474625,2,"346-375;562-593;916-956;1116-1176;139-205","Jimmy","Hayes","r","2016-10-15 23:00:00+00"
2016,20017,"bos",8474625,3,"713-756;130-176;1065-1112;344-403","Jimmy","Hayes","r","2016-10-15 23:00:00+00"
2016,20017,"bos",8475727,1,"38-72;365-400;716-752;239-281;835-886;946-1013;485-626","Ryan","Spooner","c","2016-10-15 23:00:00+00"
2016,20017,"bos",8475727,2,"812-847;650-692;1015-1073;69-139;375-454","Ryan","Spooner","c","2016-10-15 23:00:00+00"
2016,20017,"bos",8475727,3,"36-79;573-622;876-929;236-297;439-514;1110-1194","Ryan","Spooner","c","2016-10-15 23:00:00+00"
2016,20017,"tor",8477939,1,"77-117;882-929;716-773;1055-1112;224-282;367-426","William","Nylander","c","2016-10-15 23:00:00+00"
2016,20017,"tor",8477939,2,"563-593;692-736;90-139;865-914;313-369;1064-1135","William","Nylander","c","2016-10-15 23:00:00+00"
2016,20017,"tor",8477939,3,"999-1037;483-531;1081-1130;81-131;297-347;756-823","William","Nylander","c","2016-10-15 23:00:00+00"
2016,20017,"bos",8477956,1,"0-38;134-173;793-835;1013-1055;437-485;626-695;1055-1055","David","Pastrnak","r","2016-10-15 23:00:00+00"
2016,20017,"bos",8477956,2,"454-490;878-916;1073-1116;235-283;0-53;593-650","David","Pastrnak","r","2016-10-15 23:00:00+00"
2016,20017,"bos",8477956,3,"0-38;403-459;176-236;929-990;622-713","David","Pastrnak","r","2016-10-15 23:00:00+00"
2016,20017,"bos",8478046,1,"485-527;38-84;835-886;716-773","Danton","Heinen","c","2016-10-15 23:00:00+00"
2016,20017,"bos",8478046,2,"650-692;836-878;1015-1073;375-454;53-139","Danton","Heinen","c","2016-10-15 23:00:00+00"
2016,20017,"bos",8478046,3,"38-79;573-622;459-514;872-929;236-297;1112-1182","Danton","Heinen","c","2016-10-15 23:00:00+00"
2016,20017,"bos",8478512,1,"116-134;202-222;301-321;773-793;931-1013;527-626","Austin","Czarnik","c","2016-10-15 23:00:00+00"
2016,20017,"bos",8478512,2,"353-375;556-593;916-956;1116-1176;147-212","Austin","Czarnik","c","2016-10-15 23:00:00+00"
2016,20017,"bos",8478512,3,"1054-1110;344-403;130-192","Austin","Czarnik","c","2016-10-15 23:00:00+00"
2016,20017,"bos",8478569,1,"695-716;415-437;84-116;886-931;1055-1111","Noel","Acciari","c","2016-10-15 23:00:00+00"
2016,20017,"bos",8478569,2,"1176-1200;205-235;747-792;956-1015;283-346;492-562","Noel","Acciari","c","2016-10-15 23:00:00+00"
2016,20017,"bos",8478569,3,"1182-1200;854-889;297-344;79-130;514-573;990-1065","Noel","Acciari","c","2016-10-15 23:00:00+00"
2016,20050,"wpg",8475788,1,"857-900;510-561;630-686;1110-1178;321-392","Alexander","Burmistrov","c","2016-10-20 00:00:00+00"
2016,20050,"wpg",8471218,1,"761-771;80-101;680-721;815-857;357-406;544-607;972-1039;183-265","Blake","Wheeler","r","2016-10-20 00:00:00+00"
2016,20050,"wpg",8471218,2,"783-784;472-514;48-92;1094-1141;594-669;209-289;846-926","Blake","Wheeler","r","2016-10-20 00:00:00+00"
