"season","game_id","team","period","strength_sit","timeranges"
2016,20520,"cbj",3,"sh","385-505;959-1079"
2016,20832,"mtl",1,"ev5","0-572;692-855;998-1200"
2016,20832,"mtl",1,"pp","572-692;855-998"
2016,20832,"mtl",2,"ev5","0-181;332-353;473-800;905-1067"
2016,20832,"mtl",2,"pp","301-332;1067-1185"
2016,20832,"mtl",2,"sh","181-212;353-473;800-905;1186-1200"
2016,20832,"mtl",3,"ev5","105-521;641-756;990-1043;1163-1200"
2016,20832,"mtl",3,"pp","521-641"
2016,20832,"mtl",3,"sh","0-105;756-990;1043-1163"
2016,20442,"pit",1,"ev5","0-229;349-874;1152-1200"
2016,20442,"pit",1,"pp","874-991"
2016,20442,"pit",1,"sh","229-349;994-1152"
2016,20442,"pit",2,"ev5","0-488;587-691;811-840;960-1200"
2016,20442,"pit",2,"pp","488-587;840-960"
2016,20442,"pit",2,"sh","691-811"
2016,20442,"pit",3,"ev5","0-441;542-1200"
2016,20442,"pit",3,"pp","441-542"
2016,20445,"ana",1,"ev5","0-142;262-301;421-829;1063-1200"
2016,20445,"ana",1,"pp","142-262;301-421"
2016,20445,"ana",1,"sh","829-913;943-1063"
2016,20445,"ana",2,"ev5","0-90;126-969;1089-1200"
2016,20445,"ana",2,"sh","90-126;969-1089"
2016,20445,"ana",3,"ev5","0-66;186-1093;1154-1168"
2016,20445,"ana",3,"pp","66-186"
2016,20532,"buf",1,"ev5","0-253;438-719;839-893;1013-1028;1090-1200"
2016,20532,"buf",1,"pp","253-318;719-839;1028-1090"
2016,20532,"buf",1,"sh","373-438;893-1013"
2016,20532,"buf",2,"ev5","0-233;353-383;503-665;796-848;973-1036;1159-1200"
2016,20532,"buf",2,"pp","383-503;676-796"
2016,20532,"buf",2,"sh","871-973;1039-1159"
2016,20532,"buf",3,"ev5","0-241;361-499;619-1121;1148-1200"
2016,20532,"buf",3,"pp","241-361"
2016,20532,"buf",3,"sh","499-619"
2016,21000,"phi",1,"ev5","0-339;459-848;985-1026;1118-1200"
2016,21000,"phi",1,"pp","848-985"
2016,21000,"phi",1,"sh","339-459;1026-1118"
2016,21000,"phi",2,"ev5","0-1009;1129-1200"
2016,21000,"phi",2,"sh","1009-1129"
2016,21000,"phi",3,"ev5","0-1194"
2016,20877,"sjs",1,"ev5","0-781;913-1200"
2016,20877,"sjs",1,"pp","793-913"
2016,20877,"sjs",2,"ev5","0-613;733-1025;1145-1200"
2016,20877,"sjs",2,"sh","613-733"
2016,20877,"sjs",3,"ev5","0-1200"
2016,20893,"ana",1,"ev5","0-120;240-739;901-1064;1184-1200"
2016,20893,"ana",1,"pp","120-240;859-901"
2016,20893,"ana",1,"sh","739-781;1064-1184"
2016,20893,"ana",2,"ev5","0-272;392-627;747-1192"
2016,20893,"ana",2,"pp","627-747"
2016,20893,"ana",2,"sh","272-392;1192-1200"
2016,20893,"ana",3,"ev5","112-446;566-1121;1151-1200"
2016,20893,"ana",3,"sh","0-112;446-566"
2016,20899,"lak",1,"ev5","0-1004;1092-1200"
2016,20899,"lak",1,"pp","1004-1092"
2016,20899,"lak",2,"ev5","0-199;283-329;449-931;1051-1088"
2016,20899,"lak",2,"pp","329-449;931-1051"
2016,20899,"lak",2,"sh","199-283"
2016,20899,"lak",3,"ev5","8-1128;1138-1183;1192-1200"
2016,20970,"ott",1,"ev5","0-1200"
2016,20970,"ott",2,"ev5","0-549;669-1171"
2016,20970,"ott",2,"pp","549-669"
2016,20970,"ott",3,"ev5","91-456;470-516;544-1116;1150-1200"
2016,20970,"ott",3,"pp","456-470"
2016,20970,"ott",3,"sh","516-544"
2016,20470,"lak",1,"ev5","0-80;199-1030;1150-1200"
2016,20470,"lak",1,"pp","80-199;1030-1150"
2016,20470,"lak",2,"ev5","0-186;306-465;585-946;1066-1200"
2016,20470,"lak",2,"pp","186-306"
2016,20470,"lak",2,"sh","465-585;946-1066"
