"season","game_id","team","period","strength_sit","timeranges"
2016,20949,"nyi",2,"ev5","0-510;630-678;807-1200"
2016,20949,"nyi",2,"pp","510-630"
2016,20949,"nyi",2,"sh","687-807"
2016,20949,"nyi",3,"ev5","0-143;263-1071;1126-1200"
2016,20949,"nyi",3,"pp","143-263"
2016,20959,"nsh",1,"ev5","0-144;264-913;983-1200"
2016,20959,"nsh",1,"pp","144-264"
2016,20959,"nsh",1,"sh","913-983"
2016,20959,"nsh",2,"ev5","0-1133;1143-1200"
2016,20959,"nsh",2,"sh","1133-1143"
2016,20959,"nsh",3,"ev5","0-1144;1161-1200"
2016,20607,"nsh",1,"ev5","0-269;389-676;796-1200"
2016,20607,"nsh",1,"pp","269-389;676-796"
2016,20607,"nsh",2,"ev5","0-1108"
2016,20607,"nsh",2,"sh","1108-1176"
2016,20607,"nsh",3,"ev5","96-1102;1126-1140;1168-1200"
2016,20607,"nsh",3,"pp","28-96"
2016,20617,"det",1,"ev5","0-104;224-491;604-830;974-1200"
2016,20617,"det",1,"sh","104-224;491-604;854-974"
2016,20617,"det",2,"ev5","0-408;537-895;1015-1200"
2016,20617,"det",2,"pp","528-537"
2016,20617,"det",2,"sh","408-417"
2016,20617,"det",3,"ev5","0-386;506-1184"
2016,20617,"det",3,"sh","386-506;1184-1200"
2016,20617,"det",4,"sh","0-38"
2016,20634,"wsh",1,"ev5","0-1200"
2016,20634,"wsh",2,"ev5","0-151;271-885;1005-1200"
2016,20634,"wsh",2,"sh","151-271;885-1005"
2016,20634,"wsh",3,"ev5","0-1200"
2016,20653,"min",1,"ev5","0-748;868-1200"
2016,20653,"min",2,"ev5","0-304;383-1091"
2016,20653,"min",2,"pp","304-383"
2016,20653,"min",2,"sh","1091-1200"
2016,20653,"min",3,"ev5","11-1119"
2016,20653,"min",3,"sh","0-11"
2016,20668,"col",1,"ev5","0-402;459-1200"
2016,20668,"col",1,"pp","402-459"
2016,20668,"col",2,"ev5","0-151;389-934;1057-1200"
2016,20668,"col",2,"pp","271-389"
2016,20668,"col",2,"sh","151-269;1054-1057"
2016,20668,"col",3,"ev5","0-1169;1189-1200"
2016,20685,"bos",1,"ev5","0-1200"
2016,20685,"bos",2,"ev5","0-285;405-906;1029-1176"
2016,20685,"bos",2,"pp","285-405"
2016,20685,"bos",2,"sh","909-1029;1176-1200"
2016,20685,"bos",3,"ev5","120-434;554-1157"
2016,20685,"bos",3,"pp","96-120"
2016,20685,"bos",3,"sh","434-554"
2016,20706,"van",1,"ev5","0-1200"
2016,20706,"van",2,"ev5","0-582;702-802;922-933;1053-1200"
2016,20706,"van",2,"pp","582-702;933-1053"
2016,20706,"van",2,"sh","802-922"
2016,20706,"van",3,"ev5","0-293;303-1146;1176-1200"
2016,20706,"van",3,"pp","293-303"
2016,20722,"tbl",1,"ev5","0-258;378-792;919-1200"
2016,20722,"tbl",1,"sh","258-378;799-919"
2016,20722,"tbl",2,"ev5","0-235;355-743;863-1200"
2016,20722,"tbl",2,"pp","235-355"
2016,20722,"tbl",2,"sh","743-863"
2016,20722,"tbl",3,"ev5","0-676;796-999;1075-1200"
2016,20722,"tbl",3,"pp","676-796"
2016,20737,"wpg",1,"ev5","0-271;376-764;787-930;1050-1200"
2016,20737,"wpg",1,"pp","271-376"
2016,20737,"wpg",1,"sh","782-787;930-1050"
