"season","date","gameId","team","iceSit","playerId","position","period","periodType","start","end"
20152016,20160531,30411,"pit","home",8474009,"c",1,"regular",403,439
20152016,20160531,30411,"sjs","away",8464977,"c",2,"regular",408,444
20152016,20160531,30411,"pit","home",8473933,"d",2,"regular",529,565
20152016,20160531,30411,"pit","home",8476874,"d",2,"regular",529,565
20152016,20160531,30411,"pit","home",8471887,"rw",3,"regular",787,823
20152016,20160531,30411,"sjs","away",8468208,"rw",2,"regular",850,886
20152016,20160531,30411,"sjs","away",8474096,"c",2,"regular",907,943
20152016,20160531,30411,"sjs","away",8476881,"c",2,"regular",974,1010
20152016,20160531,30411,"sjs","away",8468208,"rw",1,"regular",1094,1130
20152016,20160531,30411,"pit","home",8471724,"d",1,"regular",0,37
20152016,20160531,30411,"pit","home",8475208,"d",1,"regular",172,209
20152016,20160531,30411,"pit","home",8464989,"c",2,"regular",245,282
20152016,20160531,30411,"pit","home",8470611,"c",1,"regular",258,295
20152016,20160531,30411,"pit","home",8464989,"c",1,"regular",258,295
20152016,20160531,30411,"pit","home",8475832,"rw",1,"regular",258,295
20152016,20160531,30411,"sjs","away",8466138,"c",2,"regular",345,382
20152016,20160531,30411,"sjs","away",8476881,"c",2,"regular",345,382
20152016,20160531,30411,"sjs","away",8468542,"d",1,"regular",445,482
20152016,20160531,30411,"sjs","away",8471392,"d",1,"regular",445,482
20152016,20160531,30411,"pit","home",8473933,"d",3,"regular",744,781
20152016,20160531,30411,"pit","home",8475208,"d",3,"regular",744,781
20152016,20160531,30411,"pit","home",8470543,"lw",3,"regular",744,781
20152016,20160531,30411,"pit","home",8471215,"c",3,"regular",744,781
20152016,20160531,30411,"sjs","away",8475455,"d",1,"regular",766,803
20152016,20160531,30411,"sjs","away",8464977,"c",1,"regular",766,803
20152016,20160531,30411,"sjs","away",8471392,"d",1,"regular",766,803
20152016,20160531,30411,"sjs","away",8470794,"c",2,"regular",968,1005
20152016,20160531,30411,"pit","home",8475832,"rw",2,"regular",970,1007
20152016,20160531,30411,"pit","home",8464989,"c",2,"regular",982,1019
20152016,20160531,30411,"pit","home",8475208,"d",3,"regular",1004,1041
20152016,20160531,30411,"sjs","away",8475820,"rw",2,"regular",0,38
20152016,20160531,30411,"sjs","away",8474053,"c",2,"regular",0,38
20152016,20160531,30411,"sjs","away",8475455,"d",3,"regular",81,119
20152016,20160531,30411,"sjs","away",8471392,"d",3,"regular",81,119
20152016,20160531,30411,"pit","home",8471675,"c",1,"regular",140,178
20152016,20160531,30411,"pit","home",8471887,"rw",2,"regular",182,220
20152016,20160531,30411,"sjs","away",8474027,"d",2,"regular",182,220
20152016,20160531,30411,"sjs","away",8477922,"c",2,"regular",182,220
20152016,20160531,30411,"sjs","away",8468542,"d",2,"regular",182,220
