"datetime","a_team","h_team","a_final","h_final"
"2016-12-23 00:00:00+00","phi","njd",0,4
"2016-12-23 00:00:00+00","pit","cbj",1,7
"2016-12-23 00:30:00+00","min","mtl",4,2
"2016-12-23 00:30:00+00","ana","ott",1,2
"2016-12-23 00:30:00+00","stl","tbl",2,5
"2016-12-23 00:30:00+00","bos","fla",3,1
"2016-12-23 01:00:00+00","lak","nsh",4,0
"2016-12-23 02:00:00+00","tor","col",6,0
"2016-12-23 03:00:00+00","wpg","van",4,1
"2016-12-24 00:00:00+00","buf","nyi",1,5
"2016-12-24 00:00:00+00","min","nyr",7,4
"2016-12-24 00:00:00+00","njd","pit",1,4
"2016-12-24 00:00:00+00","tbl","wsh",0,4
"2016-12-24 00:00:00+00","mtl","cbj",1,2
"2016-12-24 00:30:00+00","det","fla",4,3
"2016-12-24 00:30:00+00","bos","car",2,3
"2016-12-24 01:30:00+00","col","chi",2,1
"2016-12-24 01:30:00+00","lak","dal",2,3
"2016-12-24 02:00:00+00","van","cgy",1,4
"2016-12-24 02:00:00+00","tor","ari",4,1
"2016-12-24 03:30:00+00","edm","sjs",2,3
"2016-12-28 00:00:00+00","pit","njd",5,2
"2016-12-28 00:00:00+00","wsh","nyi",3,4
"2016-12-28 00:00:00+00","ott","nyr",3,4
"2016-12-28 00:00:00+00","bos","cbj",3,4
"2016-12-28 00:30:00+00","buf","det",4,3
"2016-12-28 01:00:00+00","min","nsh",3,2
"2016-12-28 01:30:00+00","wpg","chi",3,1
"2016-12-28 02:00:00+00","cgy","col",6,3
"2016-12-28 02:00:00+00","dal","ari",3,2
"2016-12-28 03:00:00+00","sjs","ana",3,2
"2016-12-29 00:00:00+00","tor","fla",3,2
"2016-12-29 00:00:00+00","car","pit",2,3
"2016-12-29 00:30:00+00","mtl","tbl",3,4
"2016-12-29 01:00:00+00","phi","stl",3,6
