"h_zone","loc_x","loc_y","type","team","venue","position"
"d",-65,4,"missed_shot","det","away","r"
"o",67,,"blocked_shot","nyr","home","d"
"o",55,-8,"blocked_shot","ari","away","d"
"d",79,5,"missed_shot","edm","away","l"
"o",-43,-31,"shot","mtl","away","d"
"d",-71,32,"shot","min","away","r"
"o",34,14,"shot","wpg","home","d"
"o",72,-6,"blocked_shot","cbj","home","l"
"d",-48,4,"missed_shot","buf","away","r"
"d",-33,4,"missed_shot","nyr","away","d"
"d",77,-25,"shot","col","away","l"
"d",64,-20,"missed_shot","phi","away","r"
"d",-75,-2,"shot","njd","away","r"
"o",-76,2,"shot","wsh","away","d"
"o",69,14,"shot","ana","home","l"
"d",87,6,"shot","edm","away","r"
"o",44,31,"shot","ana","home","d"
"n",-15,7,"shot","ott","home","c"
"d",-36,2,"shot","stl","away","r"
"d",-49,-1,"shot","ana","away","c"
"d",-58,-16,"shot","min","away","l"
"o",81,-3,"shot","buf","home","l"
"o",-64,-7,"missed_shot","sjs","home","r"
"d",75,-10,"blocked_shot","ari","away","r"
"o",47,22,"blocked_shot","dal","home","d"
"o",-38,-20,"missed_shot","ari","home","d"
"d",-72,7,"missed_shot","ott","away","c"
"d",-82,11,"missed_shot","nyr","home","r"
"o",65,-16,"missed_shot","bos","away","r"
"o",37,-23,"shot","dal","home","d"
"d",40,25,"shot","phi","away","d"
"d",-61,-25,"shot","phi","away","c"
"d",-77,-4,"shot","tor","away","l"
"d",-76,-10,"blocked_shot","mtl","home","l"
"o",79,29,"missed_shot","bos","home","c"
"o",36,-15,"missed_shot","chi","home","d"
"d",-36,22,"shot","lak","home","d"
"o",80,-4,"shot","wsh","home","l"
"d",-88,27,"shot","tor","home","d"
"d",-34,25,"missed_shot","car","home","d"
"o",61,1,"blocked_shot","sjs","home","c"
"d",-41,8,"shot","stl","away","r"
"o",70,23,"shot","nyi","home","c"
"d",80,6,"goal","dal","home","c"
"d",79,3,"blocked_shot","col","home","d"
"d",43,-26,"shot","wsh","home","d"
"o",37,-31,"shot","ari","home","d"
"o",40,-23,"blocked_shot","van","away","l"
"o",72,-5,"blocked_shot","cbj","home","c"
"d",85,8,"missed_shot","col","away","r"
"d",-79,28,"missed_shot","wpg","away","r"
"d",-31,1,"shot","dal","home","l"
"o",36,-27,"shot","ari","home","d"
"d",50,20,"missed_shot","cgy","home","d"
"d",79,26,"blocked_shot","buf","away","c"
"o",78,-1,"blocked_shot","van","home","d"
"d",-52,7,"missed_shot","tor","home","c"
"o",54,-13,"goal","col","home","l"
"o",84,2,"shot","edm","home","c"
"o",-39,10,"shot","stl","home","d"
"o",-31,-22,"blocked_shot","nyi","home","l"
"d",-82,7,"blocked_shot","dal","home","l"
"o",61,31,"shot","lak","home","l"
"o",54,-3,"blocked_shot","ari","home","c"
"d",-66,32,"shot","wpg","away","r"
"d",-61,-23,"missed_shot","bos","away","r"
"o",-55,19,"shot","nsh","home","c"
"o",-59,26,"missed_shot","wsh","away","r"
"o",-66,28,"shot","col","home","c"
"o",63,16,"shot","ott","home","c"
"o",-36,-17,"shot","bos","away","d"
"d",-81,29,"missed_shot","edm","away","l"
"o",-65,-27,"shot","mtl","home","r"
"o",82,28,"missed_shot","buf","away","l"
"o",69,35,"shot","edm","away","l"
"d",-60,14,"shot","tbl","away","d"
"d",-54,4,"shot","ari","away","d"
"d",34,28,"missed_shot","tor","home","d"
"o",-60,-11,"goal","nsh","home","c"
"d",-34,-25,"shot","wsh","away","d"
"o",78,3,"blocked_shot","det","away","r"
"o",81,21,"missed_shot","ari","home","l"
"o",71,4,"missed_shot","wpg","away","c"
"d",70,16,"shot","njd","away","l"
"o",-80,11,"blocked_shot","nyr","home","c"
"o",71,-7,"shot","buf","home","l"
"o",84,-6,"shot","mtl","home","l"
"o",44,1,"blocked_shot","bos","home","d"
"d",-60,2,"shot","mtl","away","l"
"o",82,-26,"shot","cbj","home","c"
"d",-61,-16,"shot","det","away","c"
"o",48,17,"missed_shot","ari","home","d"
"o",56,-2,"shot","ana","home","r"
"o",-72,6,"blocked_shot","sjs","home","l"
"d",49,6,"missed_shot","sjs","home","c"
"d",42,3,"blocked_shot","tor","away","d"
"o",44,-25,"missed_shot","buf","away","r"
"d",-53,-12,"blocked_shot","dal","away","c"
"d",-54,33,"shot","nsh","away","r"
"d",-57,28,"shot","wsh","away","l"
"d",-38,16,"shot","ari","away","c"
"o",-75,-13,"shot","tor","home","l"
"d",-81,4,"shot","wpg","home","r"
"d",-30,20,"shot","mtl","home","d"
"d",61,26,"shot","nsh","home","d"
"d",-37,-10,"blocked_shot","lak","away","d"
"d",-48,1,"shot","njd","away","l"
"o",90,-8,"shot","col","home","r"
"o",74,-24,"shot","van","away","c"
"d",77,,"missed_shot","nyr","home","c"
"o",32,28,"missed_shot","nyi","home","d"
"o",81,7,"shot","njd","home","r"
"o",-54,-30,"shot","nyr","away","l"
"d",86,8,"shot","pit","away","r"
"d",35,-22,"shot","cgy","away","d"
"d",-75,9,"blocked_shot","sjs","away","d"
"d",-76,-10,"blocked_shot","det","home","l"
"d",-55,-17,"goal","wsh","home","c"
"o",82,-11,"blocked_shot","sjs","away","d"
"o",79,-4,"blocked_shot","van","home","d"
"o",-55,17,"blocked_shot","cbj","away","d"
"d",64,8,"blocked_shot","njd","away","d"
"o",34,-22,"shot","mtl","away","d"
"o",82,5,"shot","nyi","home","c"
"o",-54,35,"shot","car","away","d"
"o",77,4,"shot","cgy","home","r"
"o",73,14,"shot","nyi","home","c"
"d",-39,-27,"blocked_shot","njd","away","d"
"o",76,,"missed_shot","edm","home","l"
"o",-74,-29,"shot","nyr","away","c"
"o",69,-9,"blocked_shot","nyr","home","c"
"d",-37,29,"blocked_shot","min","away","d"
"o",70,8,"blocked_shot","edm","away","d"
"o",87,-25,"shot","ari","home","r"
"o",76,-17,"shot","njd","home","c"
"o",34,26,"shot","min","home","d"
"d",50,-16,"blocked_shot","phi","home","d"
"d",-39,-12,"shot","dal","away","d"
"d",35,-15,"shot","sjs","away","d"
"o",-59,-8,"shot","cgy","home","c"
"o",71,10,"goal","ana","home","l"
"d",-41,33,"shot","wpg","away","l"
"d",-41,-17,"missed_shot","ott","away","l"
"d",-51,-23,"shot","fla","home","c"
"d",-53,23,"blocked_shot","nyr","home","d"
"o",-35,31,"shot","lak","home","c"
"d",58,-8,"blocked_shot","fla","home","c"
"o",-69,-23,"shot","det","home","c"
"o",50,-21,"missed_shot","dal","home","c"
"o",-50,-24,"shot","sjs","home","r"
"o",-75,-23,"shot","cgy","home","r"
"n",-16,11,"shot","dal","away","d"
"d",-68,9,"blocked_shot","nyi","away","d"
"d",-71,5,"missed_shot","edm","away","r"
"d",78,8,"missed_shot","sjs","away","r"
